com,n_com,dgr_int,PY,TI,AU,UT,seed_com
14,13,0.13676697954523667,2020,FLEXIBLE HABITAT USE IN A MIGRATORY SONGBIRD EXPANDING ACROSS A HUMAN-MODIFIED LANDSCAPE: IS IT ADAPTIVE?,GAILLY R;COUSSEAU L;PAQUET J-Y;TITEUX N;DUFRÊNE M,2-S2.0-85092078588,FALSE
14,13,0.11021206405727385,2020,ECOLOGICAL TRAPS AND SPECIES DISTRIBUTION MODELS: A CHALLENGE FOR PRIORITIZING AREAS OF CONSERVATION IMPORTANCE,TITEUX N;AIZPURUA O;HOLLANDER FA;SARDÀ-PALOMERA F;HERMOSO V;PAQUET J-Y;MESTDAGH X;SETTELE J;BROTONS L;VAN DYCK H,2-S2.0-85075732296,FALSE
15,7,0.23886359707255228,2021,DESIGN OF CONTROLLER FOR VIRTUAL SYNCHRONOUS POWER PLANT,TARRASO A;LAI NB;VERDUGO C;CANDELA JI;RODRIGUEZ P,2-S2.0-85105072234,FALSE
15,7,0.23126293995859215,2021,FREQUENCY SELECTIVE DAMPING OF SUB-SYNCHRONOUS OSCILLATIONS FOR GRID-FORMING POWER CONVERTERS,LAI NB;MARIN L;TARRASO A;BALTAS GN;RODRIGUEZ P,2-S2.0-85123377313,FALSE
15,7,0.19598791337921773,2021,RESYNCHRONIZATION STRATEGY FOR A 200KVA GRID- FORMING POWER CONVERTER,TARRASO A;LAI NB;RODRIGUEZ P,2-S2.0-85123363813,FALSE
15,7,0.09378881987577639,2021,GRID-FOLLOWING AND GRID-FORMING PV AND WIND TURBINES,RODRIGUEZ P;LAI NB,2-S2.0-85111218510,FALSE
15,7,0.07585864276325016,2021,MULTI-ROTOR VIRTUAL MACHINE FOR GRID-FORMING CONVERTER TO DAMP SUB-SYNCHRONOUS RESONANCES,LAI NB;BALTAS GN;RODRIGUEZ P,2-S2.0-85114730659,FALSE
16,7,0.35562857237411294,2020,ENHANCING COAP GROUP COMMUNICATION TO SUPPORT MMTC OVER SATELLITE NETWORKS,SOUA R;PALATTELLA MR;STEMPER A;ENGEL T,2-S2.0-85089419916,FALSE
16,7,0.34261552401087286,2018,PERFORMANCE ANALYSIS OF COAP UNDER SATELLITE LINK DISRUPTION,GIOTTI D;LAMORTE L;SOUA R;PALATTELLA MR;ENGEL T,2-S2.0-85054500386,FALSE
16,7,0.23818118708781671,2019,IOT APPLICATION PROTOCOLS OPTIMISATION FOR FUTURE INTEGRATED M2M-SATELLITE NETWORKS,SOUA R;PALATTELLA MR;ENGEL T,2-S2.0-85061545194,FALSE
16,7,0.14293817356778218,2019,ENABLING INTERNET OF EVERYTHING EVERYWHERE: LPWAN WITH SATELLITE BACKHAUL,PALATTELLA MR;ACCETTURA N,2-S2.0-85062862953,FALSE
16,7,0.09852403674206409,2016,ENABLING SDN IN VANETS: WHAT IS THE IMPACT ON SECURITY?,DI MAIO A;PALATTELLA MR;SOUA R;LAMORTE L;VILAJOSANA X;ALONSO-ZARATE J;ENGEL T,2-S2.0-85005943190,FALSE
17,6,0.5947058823529412,2016,BIG DATA CLUSTERING USING DATA STREAMS APPROACH,LOUHI I;BOUDJELOUD-ASSALA L;TAMISIER T,2-S2.0-85015057814,FALSE
17,6,0.5884351510949977,2016,INCREMENTAL NEAREST NEIGHBORHOOD GRAPH FOR DATA STREAM CLUSTERING,LOUHI I;BOUDJELOUD-ASSALA L;TAMISIER T,2-S2.0-85007246761,FALSE
17,6,0.09846153846153846,2017,SUBSPACE CLUSTERING AND VISUALIZATION OF DATA STREAMS,LOUHI I;BOUDJELOUD-ASSALA L;TAMISIER T,2-S2.0-85047923301,FALSE
17,6,0.039607843137254906,2019,PERFORMANCE ANALYSIS OF MANET ROUTING PROTOCOLS IN URBAN VANETS,DI MAIO A;PALATTELLA MR;ENGEL T,2-S2.0-85075734861,FALSE
17,6,0.02919863597612958,2018,A PROBABILISTIC MODEL SELECTION CRITERION FOR SPECTRAL CLUSTERING,BRUNEAU P;OTJACQUES B,2-S2.0-85054181880,FALSE
18,5,0.11834733893557423,2016,FAST ATMOSPHERIC PLASMA DEPOSITION OF BIO-INSPIRED CATECHOL/QUINONE-RICH NANOLAYERS TO IMMOBILIZE NDM-1 ENZYMES FOR WATER TREATMENT,MAUCHAUFFÉ R;BONOT S;MORENO-COURANJOU M;DETREMBLEUR C;BOSCHER ND;VAN DE WEERDT C;DUWEZ A-S;CHOQUET P,2-S2.0-84964344404,FALSE
18,5,0.10855196643413204,2018,ANTI-BIOFOULING AND ANTIBACTERIAL SURFACES: VIA A MULTICOMPONENT COATING DEPOSITED FROM AN UP-SCALABLE ATMOSPHERIC-PRESSURE PLASMA-ASSISTED CVD PROCESS,MORENO-COURANJOU M;MAUCHAUFFÉ R;BONOT S;DETREMBLEUR C;CHOQUET P,2-S2.0-85041111685,FALSE
18,5,0.09453781512605042,2020,CONTROLLED CO-IMMOBILIZATION OF BIOMOLECULES ON QUINONE-BEARING PLASMA POLYMER FILMS FOR MULTIFUNCTIONAL BIOMATERIAL SURFACES,CZUBA U;MORENO-COURANJOU M;COLLARD D;DE PAUW-GILLET M-C;QUINTANA R;LASSAUX P;DETREMBLEUR C;CHOQUET P,2-S2.0-85086470201,FALSE
